date_i,n_clouds,LCL_srf,z_cloudbase,dLCL_decoupling,z_inv_base,z_inv_top,sfc_inversion,top_inversion,qT_BL,qT_jump,qT_3km,thetaL_BL,thetaL_jump,thetaL_3km,BLwnd_dir_avg,BLwnd_spd_avg,dq_decoupling,dtheta_decoupling,wellmixed_dtv,decoupled_dtv,wellmixed_dLCL,decoupled_dLCL
16-Feb-2014 12:00:00,NaN,1027.35227654884,NaN,NaN,566,612,0,0,10.5702747252747,-7.49029491709704,3.07997980817769,296.174725274725,6.3054670511853,313.231583460293,10.9476463424362,7.30943772893773,NaN,NaN,0,0,0,0
17-Feb-2014 00:00:00,NaN,1025.21490264162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
17-Feb-2014 12:00:00,NaN,1402.11377649749,NaN,NaN,257,575,0,0,10.8266455696203,-4.01165257569218,6.81499299392807,297.4,5.47011487850227,310.262164232933,8.44346697777731,7.35106751054852,NaN,NaN,0,0,0,0
18-Feb-2014 00:00:00,NaN,1270.75659796795,NaN,NaN,348,573,0,0,7.37591463414634,-4.37863314314377,2.99728149100257,291.075609756098,7.75649564953318,312.998739710318,89.5163362821715,12.6243414634146,NaN,NaN,0,0,0,0
18-Feb-2014 12:00:00,NaN,3352.78238650318,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
19-Feb-2014 00:00:00,NaN,1146.63160542918,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
19-Feb-2014 12:00:00,NaN,3359.70722030786,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
20-Feb-2014 00:00:00,NaN,1766.27624242201,NaN,NaN,205,373,0,0,7.03435135135135,-2.40517768722921,4.62917366412214,293.962702702703,7.10670761390833,310.668385108706,61.1246532573445,12.3276648648649,NaN,NaN,0,0,0,0
20-Feb-2014 12:00:00,NaN,3239.61539837172,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
21-Feb-2014 00:00:00,NaN,1397.33353849562,NaN,NaN,210,610,0,0,7.86539473684211,-2.80830865866907,5.05708607817304,293.25,7.88999104295357,305.952055424507,68.3314579453709,14.9492842105263,NaN,NaN,0,0,0,0
